#Top: design_1_wrapper   Floorplan: rtl_1   Part: xc7z010clg400-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: austi   on: Thu Dec 25 12:28:12 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:35:27 MST 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Package Delay,Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,E3,IOPAD_X1Y41,PS_DDR_DQ9_502,80.156,80.961,80.5585,,DDR_54576,DDR_dq[9],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,E2,IOPAD_X1Y40,PS_DDR_DQ8_502,71.186,71.901,71.5435,,DDR_54576,DDR_dq[8],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,E1,IOPAD_X1Y39,PS_DDR_DQ7_502,96.145,97.111,96.628,,DDR_54576,DDR_dq[7],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,C1,IOPAD_X1Y38,PS_DDR_DQ6_502,104.776,105.829,105.3025,,DDR_54576,DDR_dq[6],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,D1,IOPAD_X1Y37,PS_DDR_DQ5_502,94.8,95.753,95.2765,,DDR_54576,DDR_dq[5],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,D3,IOPAD_X1Y36,PS_DDR_DQ4_502,95.519,96.479,95.999,,DDR_54576,DDR_dq[4],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,A4,IOPAD_X1Y35,PS_DDR_DQ3_502,113.988,115.134,114.561,,DDR_54576,DDR_dq[3],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,A2,IOPAD_X1Y34,PS_DDR_DQ2_502,93.939,94.883,94.411,,DDR_54576,DDR_dq[2],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,B3,IOPAD_X1Y33,PS_DDR_DQ1_502,106.703,107.775,107.239,,DDR_54576,DDR_dq[1],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,C3,IOPAD_X1Y32,PS_DDR_DQ0_502,94.85,95.804,95.327,,DDR_54576,DDR_dq[0],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
